month,country,work_related,topic,share_of_messages
2025-07-01,SD,0,Self-expression,0.147
2025-07-01,SD,0,Technical help,0.034
2025-07-01,SD,0,Writing,0.164
2025-07-01,SE,0,Multimedia,0.047
2025-07-01,SE,0,Other/Unknown,0.048
2025-07-01,SE,0,Practical Guidance,0.307
2025-07-01,SE,0,Seeking information,0.324
2025-07-01,SE,0,Self-expression,0.099
2025-07-01,SE,0,Technical help,0.023
2025-07-01,SE,0,Writing,0.153
2025-07-01,SE,1,Multimedia,0.059
2025-07-01,SE,1,Other/Unknown,0.040
2025-07-01,SE,1,Practical Guidance,0.237
2025-07-01,SE,1,Seeking information,0.148
2025-07-01,SE,1,Self-expression,0.019
2025-07-01,SE,1,Technical help,0.151
2025-07-01,SE,1,Writing,0.346
2025-07-01,SG,0,Multimedia,0.030
2025-07-01,SG,0,Other/Unknown,0.048
2025-07-01,SG,0,Practical Guidance,0.294
2025-07-01,SG,0,Seeking information,0.258
2025-07-01,SG,0,Self-expression,0.123
2025-07-01,SG,0,Technical help,0.047
2025-07-01,SG,0,Writing,0.200
2025-07-01,SG,1,Multimedia,0.042
2025-07-01,SG,1,Other/Unknown,0.018
2025-07-01,SG,1,Practical Guidance,0.221
2025-07-01,SG,1,Seeking information,0.101
2025-07-01,SG,1,Self-expression,0.029
2025-07-01,SG,1,Technical help,0.172
2025-07-01,SG,1,Writing,0.417
2025-07-01,SI,0,Multimedia,0.031
2025-07-01,SI,0,Other/Unknown,0.060
2025-07-01,SI,0,Practical Guidance,0.241
2025-07-01,SI,0,Seeking information,0.370
2025-07-01,SI,0,Self-expression,0.127
2025-07-01,SI,0,Technical help,0.038
2025-07-01,SI,0,Writing,0.133
2025-07-01,SK,0,Multimedia,0.057
2025-07-01,SK,0,Other/Unknown,0.049
2025-07-01,SK,0,Practical Guidance,0.282
2025-07-01,SK,0,Seeking information,0.269
2025-07-01,SK,0,Self-expression,0.159
2025-07-01,SK,0,Technical help,0.012
2025-07-01,SK,0,Writing,0.171
2025-07-01,SK,1,Multimedia,0.111
2025-07-01,SK,1,Other/Unknown,0.022
2025-07-01,SK,1,Practical Guidance,0.176
2025-07-01,SK,1,Seeking information,0.201
2025-07-01,SK,1,Self-expression,0.043
2025-07-01,SK,1,Technical help,0.143
2025-07-01,SK,1,Writing,0.305
2025-07-01,SN,0,Multimedia,0.074
2025-07-01,SN,0,Other/Unknown,0.090
2025-07-01,SN,0,Practical Guidance,0.265
2025-07-01,SN,0,Seeking information,0.167
2025-07-01,SN,0,Self-expression,0.153
2025-07-01,SN,0,Technical help,0.038
2025-07-01,SN,0,Writing,0.212
2025-07-01,SO,0,Multimedia,0.048
2025-07-01,SO,0,Other/Unknown,0.121
2025-07-01,SO,0,Practical Guidance,0.271
2025-07-01,SO,0,Seeking information,0.140
2025-07-01,SO,0,Self-expression,0.114
2025-07-01,SO,0,Technical help,0.043
2025-07-01,SO,0,Writing,0.263
2025-07-01,SV,0,Multimedia,0.088
2025-07-01,SV,0,Other/Unknown,0.048
2025-07-01,SV,0,Practical Guidance,0.337
2025-07-01,SV,0,Seeking information,0.188
2025-07-01,SV,0,Self-expression,0.123
2025-07-01,SV,0,Technical help,0.024
2025-07-01,SV,0,Writing,0.192
2025-07-01,TH,0,Multimedia,0.062
2025-07-01,TH,0,Other/Unknown,0.050
2025-07-01,TH,0,Practical Guidance,0.287
2025-07-01,TH,0,Seeking information,0.198
2025-07-01,TH,0,Self-expression,0.138
2025-07-01,TH,0,Technical help,0.038
2025-07-01,TH,0,Writing,0.227
2025-07-01,TH,1,Multimedia,0.084
2025-07-01,TH,1,Other/Unknown,0.042
2025-07-01,TH,1,Practical Guidance,0.274
2025-07-01,TH,1,Seeking information,0.125
2025-07-01,TH,1,Self-expression,0.019
2025-07-01,TH,1,Technical help,0.086
2025-07-01,TH,1,Writing,0.369
2025-07-01,TN,0,Multimedia,0.045
2025-07-01,TN,0,Other/Unknown,0.105
2025-07-01,TN,0,Practical Guidance,0.280
2025-07-01,TN,0,Seeking information,0.219
2025-07-01,TN,0,Self-expression,0.121
2025-07-01,TN,0,Technical help,0.021
2025-07-01,TN,0,Writing,0.208
2025-07-01,TN,1,Multimedia,0.081
2025-07-01,TN,1,Other/Unknown,0.030
2025-07-01,TN,1,Practical Guidance,0.286
2025-07-01,TN,1,Seeking information,0.091
2025-07-01,TN,1,Self-expression,0.000
2025-07-01,TN,1,Technical help,0.201
2025-07-01,TN,1,Writing,0.312
2025-07-01,TR,0,Multimedia,0.080
2025-07-01,TR,0,Other/Unknown,0.070
2025-07-01,TR,0,Practical Guidance,0.292
2025-07-01,TR,0,Seeking information,0.219
2025-07-01,TR,0,Self-expression,0.177
2025-07-01,TR,0,Technical help,0.023
2025-07-01,TR,0,Writing,0.139
2025-07-01,TR,1,Multimedia,0.087
2025-07-01,TR,1,Other/Unknown,0.052
2025-07-01,TR,1,Practical Guidance,0.231
2025-07-01,TR,1,Seeking information,0.132
2025-07-01,TR,1,Self-expression,0.039
2025-07-01,TR,1,Technical help,0.148
2025-07-01,TR,1,Writing,0.311
2025-07-01,TW,0,Multimedia,0.047
2025-07-01,TW,0,Other/Unknown,0.061
2025-07-01,TW,0,Practical Guidance,0.263
2025-07-01,TW,0,Seeking information,0.221
2025-07-01,TW,0,Self-expression,0.195
2025-07-01,TW,0,Technical help,0.022
2025-07-01,TW,0,Writing,0.190
2025-07-01,TW,1,Multimedia,0.065
2025-07-01,TW,1,Other/Unknown,0.052
2025-07-01,TW,1,Practical Guidance,0.233
2025-07-01,TW,1,Seeking information,0.125
2025-07-01,TW,1,Self-expression,0.032
2025-07-01,TW,1,Technical help,0.163
2025-07-01,TW,1,Writing,0.330
2025-07-01,TZ,0,Multimedia,0.051
2025-07-01,TZ,0,Other/Unknown,0.039
2025-07-01,TZ,0,Practical Guidance,0.341
2025-07-01,TZ,0,Seeking information,0.211
2025-07-01,TZ,0,Self-expression,0.109
2025-07-01,TZ,0,Technical help,0.038
2025-07-01,TZ,0,Writing,0.211
2025-07-01,TZ,1,Multimedia,0.062
2025-07-01,TZ,1,Other/Unknown,0.000
2025-07-01,TZ,1,Practical Guidance,0.283
2025-07-01,TZ,1,Seeking information,0.193
2025-07-01,TZ,1,Self-expression,0.013
2025-07-01,TZ,1,Technical help,0.076
2025-07-01,TZ,1,Writing,0.373
2025-07-01,UA,0,Multimedia,0.053
2025-07-01,UA,0,Other/Unknown,0.062
2025-07-01,UA,0,Practical Guidance,0.323
2025-07-01,UA,0,Seeking information,0.215
2025-07-01,UA,0,Self-expression,0.152
2025-07-01,UA,0,Technical help,0.021
2025-07-01,UA,0,Writing,0.174
2025-07-01,UA,1,Multimedia,0.061
2025-07-01,UA,1,Other/Unknown,0.075
2025-07-01,UA,1,Practical Guidance,0.227
2025-07-01,UA,1,Seeking information,0.109
2025-07-01,UA,1,Self-expression,0.021
2025-07-01,UA,1,Technical help,0.128
2025-07-01,UA,1,Writing,0.379
2025-07-01,US,0,Multimedia,0.056
2025-07-01,US,0,Other/Unknown,0.048
2025-07-01,US,0,Practical Guidance,0.291
2025-07-01,US,0,Seeking information,0.252
2025-07-01,US,0,Self-expression,0.139
2025-07-01,US,0,Technical help,0.033
2025-07-01,US,0,Writing,0.181
2025-07-01,US,1,Multimedia,0.060
2025-07-01,US,1,Other/Unknown,0.034
2025-07-01,US,1,Practical Guidance,0.242
2025-07-01,US,1,Seeking information,0.121
2025-07-01,US,1,Self-expression,0.022
2025-07-01,US,1,Technical help,0.112
2025-07-01,US,1,Writing,0.409
2025-07-01,UY,0,Multimedia,0.076
2025-07-01,UY,0,Other/Unknown,0.042
2025-07-01,UY,0,Practical Guidance,0.297
2025-07-01,UY,0,Seeking information,0.208
2025-07-01,UY,0,Self-expression,0.198
2025-07-01,UY,0,Technical help,0.009
2025-07-01,UY,0,Writing,0.170
2025-07-01,UY,1,Multimedia,0.141
2025-07-01,UY,1,Other/Unknown,0.065
2025-07-01,UY,1,Practical Guidance,0.225
2025-07-01,UY,1,Seeking information,0.124
2025-07-01,UY,1,Self-expression,0.074
2025-07-01,UY,1,Technical help,0.109
2025-07-01,UY,1,Writing,0.261
2025-07-01,UZ,0,Multimedia,0.080
2025-07-01,UZ,0,Other/Unknown,0.093
2025-07-01,UZ,0,Practical Guidance,0.287
2025-07-01,UZ,0,Seeking information,0.195
2025-07-01,UZ,0,Self-expression,0.136
2025-07-01,UZ,0,Technical help,0.024
2025-07-01,UZ,0,Writing,0.185
2025-07-01,UZ,1,Multimedia,0.104
2025-07-01,UZ,1,Other/Unknown,0.076
2025-07-01,UZ,1,Practical Guidance,0.231
2025-07-01,UZ,1,Seeking information,0.119
2025-07-01,UZ,1,Self-expression,0.046
2025-07-01,UZ,1,Technical help,0.127
2025-07-01,UZ,1,Writing,0.296
2025-07-01,VN,0,Multimedia,0.057
2025-07-01,VN,0,Other/Unknown,0.070
2025-07-01,VN,0,Practical Guidance,0.279
2025-07-01,VN,0,Seeking information,0.189
2025-07-01,VN,0,Self-expression,0.139
2025-07-01,VN,0,Technical help,0.030
2025-07-01,VN,0,Writing,0.238
2025-07-01,VN,1,Multimedia,0.067
2025-07-01,VN,1,Other/Unknown,0.037
2025-07-01,VN,1,Practical Guidance,0.226
2025-07-01,VN,1,Seeking information,0.123
2025-07-01,VN,1,Self-expression,0.018
2025-07-01,VN,1,Technical help,0.130
2025-07-01,VN,1,Writing,0.398
2025-07-01,YE,0,Multimedia,0.052
2025-07-01,YE,0,Other/Unknown,0.082
2025-07-01,YE,0,Practical Guidance,0.266
2025-07-01,YE,0,Seeking information,0.185
2025-07-01,YE,0,Self-expression,0.165
2025-07-01,YE,0,Technical help,0.025
2025-07-01,YE,0,Writing,0.225
2025-07-01,YE,1,Multimedia,0.101
2025-07-01,YE,1,Other/Unknown,0.013
2025-07-01,YE,1,Practical Guidance,0.277
2025-07-01,YE,1,Seeking information,0.109
2025-07-01,YE,1,Self-expression,0.028
2025-07-01,YE,1,Technical help,0.196
2025-07-01,YE,1,Writing,0.276
2025-07-01,ZA,0,Multimedia,0.056
2025-07-01,ZA,0,Other/Unknown,0.060
2025-07-01,ZA,0,Practical Guidance,0.271
2025-07-01,ZA,0,Seeking information,0.190
2025-07-01,ZA,0,Self-expression,0.148
2025-07-01,ZA,0,Technical help,0.039
2025-07-01,ZA,0,Writing,0.237
2025-07-01,ZA,1,Multimedia,0.073
2025-07-01,ZA,1,Other/Unknown,0.043
2025-07-01,ZA,1,Practical Guidance,0.274
2025-07-01,ZA,1,Seeking information,0.108
2025-07-01,ZA,1,Self-expression,0.033
2025-07-01,ZA,1,Technical help,0.118
2025-07-01,ZA,1,Writing,0.351
2025-08-01,AE,0,Multimedia,0.054
2025-08-01,AE,0,Other/Unknown,0.061
2025-08-01,AE,0,Practical Guidance,0.328
2025-08-01,AE,0,Seeking information,0.243
2025-08-01,AE,0,Self-expression,0.108
2025-08-01,AE,0,Technical help,0.024
2025-08-01,AE,0,Writing,0.181
2025-08-01,AE,1,Multimedia,0.072
2025-08-01,AE,1,Other/Unknown,0.045
2025-08-01,AE,1,Practical Guidance,0.193
2025-08-01,AE,1,Seeking information,0.114
2025-08-01,AE,1,Self-expression,0.027
2025-08-01,AE,1,Technical help,0.071
2025-08-01,AE,1,Writing,0.478
2025-08-01,AF,0,Multimedia,0.072
2025-08-01,AF,0,Other/Unknown,0.037
2025-08-01,AF,0,Practical Guidance,0.264
2025-08-01,AF,0,Seeking information,0.202
2025-08-01,AF,0,Self-expression,0.163
2025-08-01,AF,0,Technical help,0.043
2025-08-01,AF,0,Writing,0.219
2025-08-01,AL,0,Multimedia,0.083
2025-08-01,AL,0,Other/Unknown,0.065
2025-08-01,AL,0,Practical Guidance,0.293
2025-08-01,AL,0,Seeking information,0.207
2025-08-01,AL,0,Self-expression,0.135
2025-08-01,AL,0,Technical help,0.032
2025-08-01,AL,0,Writing,0.186
2025-08-01,AM,0,Multimedia,0.046
2025-08-01,AM,0,Other/Unknown,0.047
2025-08-01,AM,0,Practical Guidance,0.247
2025-08-01,AM,0,Seeking information,0.195
2025-08-01,AM,0,Self-expression,0.190
2025-08-01,AM,0,Technical help,0.019
2025-08-01,AM,0,Writing,0.255
2025-08-01,AO,0,Multimedia,0.090
2025-08-01,AO,0,Other/Unknown,0.093
2025-08-01,AO,0,Practical Guidance,0.308
2025-08-01,AO,0,Seeking information,0.161
2025-08-01,AO,0,Self-expression,0.047
2025-08-01,AO,0,Technical help,0.044
2025-08-01,AO,0,Writing,0.257
2025-08-01,AR,0,Multimedia,0.078
2025-08-01,AR,0,Other/Unknown,0.057
2025-08-01,AR,0,Practical Guidance,0.295
2025-08-01,AR,0,Seeking information,0.196
2025-08-01,AR,0,Self-expression,0.165
2025-08-01,AR,0,Technical help,0.029
2025-08-01,AR,0,Writing,0.181
2025-08-01,AR,1,Multimedia,0.129
2025-08-01,AR,1,Other/Unknown,0.044
2025-08-01,AR,1,Practical Guidance,0.272
2025-08-01,AR,1,Seeking information,0.094
2025-08-01,AR,1,Self-expression,0.024
2025-08-01,AR,1,Technical help,0.097
2025-08-01,AR,1,Writing,0.340
2025-08-01,AT,0,Multimedia,0.067
2025-08-01,AT,0,Other/Unknown,0.044
2025-08-01,AT,0,Practical Guidance,0.274
2025-08-01,AT,0,Seeking information,0.269
2025-08-01,AT,0,Self-expression,0.099
2025-08-01,AT,0,Technical help,0.035
2025-08-01,AT,0,Writing,0.211
2025-08-01,AT,1,Multimedia,0.083
2025-08-01,AT,1,Other/Unknown,0.030
2025-08-01,AT,1,Practical Guidance,0.204
2025-08-01,AT,1,Seeking information,0.146
2025-08-01,AT,1,Self-expression,0.010
2025-08-01,AT,1,Technical help,0.111
2025-08-01,AT,1,Writing,0.415
2025-08-01,AU,0,Multimedia,0.040
2025-08-01,AU,0,Other/Unknown,0.047
2025-08-01,AU,0,Practical Guidance,0.325
2025-08-01,AU,0,Seeking information,0.249
2025-08-01,AU,0,Self-expression,0.091
2025-08-01,AU,0,Technical help,0.038
2025-08-01,AU,0,Writing,0.211
2025-08-01,AU,1,Multimedia,0.048
2025-08-01,AU,1,Other/Unknown,0.033
2025-08-01,AU,1,Practical Guidance,0.246
2025-08-01,AU,1,Seeking information,0.111
2025-08-01,AU,1,Self-expression,0.017
2025-08-01,AU,1,Technical help,0.097
2025-08-01,AU,1,Writing,0.449
2025-08-01,AZ,0,Multimedia,0.061
2025-08-01,AZ,0,Other/Unknown,0.093
2025-08-01,AZ,0,Practical Guidance,0.294
2025-08-01,AZ,0,Seeking information,0.204
2025-08-01,AZ,0,Self-expression,0.189
2025-08-01,AZ,0,Technical help,0.019
2025-08-01,AZ,0,Writing,0.140
2025-08-01,AZ,1,Multimedia,0.063
2025-08-01,AZ,1,Other/Unknown,0.000
2025-08-01,AZ,1,Practical Guidance,0.356
2025-08-01,AZ,1,Seeking information,0.168
2025-08-01,AZ,1,Self-expression,0.000
2025-08-01,AZ,1,Technical help,0.105
2025-08-01,AZ,1,Writing,0.308
2025-08-01,BA,0,Multimedia,0.047
2025-08-01,BA,0,Other/Unknown,0.074
2025-08-01,BA,0,Practical Guidance,0.325
2025-08-01,BA,0,Seeking information,0.231
2025-08-01,BA,0,Self-expression,0.144
2025-08-01,BA,0,Technical help,0.008
2025-08-01,BA,0,Writing,0.171
2025-08-01,BD,0,Multimedia,0.058
2025-08-01,BD,0,Other/Unknown,0.084
2025-08-01,BD,0,Practical Guidance,0.287
2025-08-01,BD,0,Seeking information,0.199
2025-08-01,BD,0,Self-expression,0.106
2025-08-01,BD,0,Technical help,0.025
2025-08-01,BD,0,Writing,0.240
2025-08-01,BD,1,Multimedia,0.074
2025-08-01,BD,1,Other/Unknown,0.044
2025-08-01,BD,1,Practical Guidance,0.283
2025-08-01,BD,1,Seeking information,0.127
2025-08-01,BD,1,Self-expression,0.015
2025-08-01,BD,1,Technical help,0.120
2025-08-01,BD,1,Writing,0.337
2025-08-01,BE,0,Multimedia,0.054
2025-08-01,BE,0,Other/Unknown,0.041
2025-08-01,BE,0,Practical Guidance,0.328
2025-08-01,BE,0,Seeking information,0.268
2025-08-01,BE,0,Self-expression,0.111
2025-08-01,BE,0,Technical help,0.026
2025-08-01,BE,0,Writing,0.171
2025-08-01,BE,1,Multimedia,0.070
2025-08-01,BE,1,Other/Unknown,0.033
2025-08-01,BE,1,Practical Guidance,0.217
2025-08-01,BE,1,Seeking information,0.131
2025-08-01,BE,1,Self-expression,0.017
2025-08-01,BE,1,Technical help,0.123
2025-08-01,BE,1,Writing,0.408
2025-08-01,BG,0,Multimedia,0.054
2025-08-01,BG,0,Other/Unknown,0.069
2025-08-01,BG,0,Practical Guidance,0.326
2025-08-01,BG,0,Seeking information,0.216
2025-08-01,BG,0,Self-expression,0.142
2025-08-01,BG,0,Technical help,0.036
2025-08-01,BG,0,Writing,0.158
2025-08-01,BG,1,Multimedia,0.140
2025-08-01,BG,1,Other/Unknown,0.051
2025-08-01,BG,1,Practical Guidance,0.203
2025-08-01,BG,1,Seeking information,0.084
2025-08-01,BG,1,Self-expression,0.060
2025-08-01,BG,1,Technical help,0.128
2025-08-01,BG,1,Writing,0.334
2025-08-01,BH,0,Multimedia,0.031
2025-08-01,BH,0,Other/Unknown,0.049
2025-08-01,BH,0,Practical Guidance,0.318
2025-08-01,BH,0,Seeking information,0.189
2025-08-01,BH,0,Self-expression,0.184
2025-08-01,BH,0,Technical help,0.025
2025-08-01,BH,0,Writing,0.203
2025-08-01,BJ,0,Multimedia,0.092
2025-08-01,BJ,0,Other/Unknown,0.118
2025-08-01,BJ,0,Practical Guidance,0.153
2025-08-01,BJ,0,Seeking information,0.177
2025-08-01,BJ,0,Self-expression,0.107
2025-08-01,BJ,0,Technical help,0.015
2025-08-01,BJ,0,Writing,0.338
2025-08-01,BO,0,Multimedia,0.056
2025-08-01,BO,0,Other/Unknown,0.061
2025-08-01,BO,0,Practical Guidance,0.366
2025-08-01,BO,0,Seeking information,0.170
2025-08-01,BO,0,Self-expression,0.123
2025-08-01,BO,0,Technical help,0.034
2025-08-01,BO,0,Writing,0.190
2025-08-01,BO,1,Multimedia,0.121
2025-08-01,BO,1,Other/Unknown,0.033
2025-08-01,BO,1,Practical Guidance,0.289
2025-08-01,BO,1,Seeking information,0.136
2025-08-01,BO,1,Self-expression,0.007
2025-08-01,BO,1,Technical help,0.080
2025-08-01,BO,1,Writing,0.334
2025-08-01,BR,0,Multimedia,0.077
2025-08-01,BR,0,Other/Unknown,0.060
2025-08-01,BR,0,Practical Guidance,0.295
2025-08-01,BR,0,Seeking information,0.176
2025-08-01,BR,0,Self-expression,0.128
2025-08-01,BR,0,Technical help,0.034
2025-08-01,BR,0,Writing,0.231
2025-08-01,BR,1,Multimedia,0.122
2025-08-01,BR,1,Other/Unknown,0.033
2025-08-01,BR,1,Practical Guidance,0.216
2025-08-01,BR,1,Seeking information,0.099
2025-08-01,BR,1,Self-expression,0.018
2025-08-01,BR,1,Technical help,0.090
2025-08-01,BR,1,Writing,0.421
2025-08-01,CA,0,Multimedia,0.051
2025-08-01,CA,0,Other/Unknown,0.058
2025-08-01,CA,0,Practical Guidance,0.302
2025-08-01,CA,0,Seeking information,0.243
2025-08-01,CA,0,Self-expression,0.116
2025-08-01,CA,0,Technical help,0.035
2025-08-01,CA,0,Writing,0.195
2025-08-01,CA,1,Multimedia,0.055
2025-08-01,CA,1,Other/Unknown,0.040
2025-08-01,CA,1,Practical Guidance,0.236
2025-08-01,CA,1,Seeking information,0.121
2025-08-01,CA,1,Self-expression,0.021
2025-08-01,CA,1,Technical help,0.108
2025-08-01,CA,1,Writing,0.420
2025-08-01,CD,0,Multimedia,0.070
2025-08-01,CD,0,Other/Unknown,0.077
2025-08-01,CD,0,Practical Guidance,0.247
2025-08-01,CD,0,Seeking information,0.175
2025-08-01,CD,0,Self-expression,0.099
2025-08-01,CD,0,Technical help,0.006
2025-08-01,CD,0,Writing,0.326
2025-08-01,CH,0,Multimedia,0.044
2025-08-01,CH,0,Other/Unknown,0.058
2025-08-01,CH,0,Practical Guidance,0.320
2025-08-01,CH,0,Seeking information,0.263
2025-08-01,CH,0,Self-expression,0.091
2025-08-01,CH,0,Technical help,0.029
2025-08-01,CH,0,Writing,0.195
2025-08-01,CH,1,Multimedia,0.049
2025-08-01,CH,1,Other/Unknown,0.033
2025-08-01,CH,1,Practical Guidance,0.225
2025-08-01,CH,1,Seeking information,0.114
2025-08-01,CH,1,Self-expression,0.029
2025-08-01,CH,1,Technical help,0.086
2025-08-01,CH,1,Writing,0.464
2025-08-01,CI,0,Multimedia,0.031
2025-08-01,CI,0,Other/Unknown,0.070
2025-08-01,CI,0,Practical Guidance,0.242
2025-08-01,CI,0,Seeking information,0.198
2025-08-01,CI,0,Self-expression,0.149
2025-08-01,CI,0,Technical help,0.016
2025-08-01,CI,0,Writing,0.295
2025-08-01,CI,1,Multimedia,0.126
2025-08-01,CI,1,Other/Unknown,0.084
2025-08-01,CI,1,Practical Guidance,0.245
2025-08-01,CI,1,Seeking information,0.117
2025-08-01,CI,1,Self-expression,0.005
2025-08-01,CI,1,Technical help,0.075
2025-08-01,CI,1,Writing,0.348
2025-08-01,CL,0,Multimedia,0.056
2025-08-01,CL,0,Other/Unknown,0.064
2025-08-01,CL,0,Practical Guidance,0.344
2025-08-01,CL,0,Seeking information,0.180
2025-08-01,CL,0,Self-expression,0.148
2025-08-01,CL,0,Technical help,0.031
2025-08-01,CL,0,Writing,0.177
2025-08-01,CL,1,Multimedia,0.103
2025-08-01,CL,1,Other/Unknown,0.043
2025-08-01,CL,1,Practical Guidance,0.271
2025-08-01,CL,1,Seeking information,0.110
2025-08-01,CL,1,Self-expression,0.009
2025-08-01,CL,1,Technical help,0.088
2025-08-01,CL,1,Writing,0.376
2025-08-01,CO,0,Multimedia,0.079
2025-08-01,CO,0,Other/Unknown,0.054
2025-08-01,CO,0,Practical Guidance,0.313
2025-08-01,CO,0,Seeking information,0.166
2025-08-01,CO,0,Self-expression,0.131
2025-08-01,CO,0,Technical help,0.039
2025-08-01,CO,0,Writing,0.217
2025-08-01,CO,1,Multimedia,0.126
2025-08-01,CO,1,Other/Unknown,0.040
2025-08-01,CO,1,Practical Guidance,0.245
2025-08-01,CO,1,Seeking information,0.110
2025-08-01,CO,1,Self-expression,0.015
2025-08-01,CO,1,Technical help,0.076
2025-08-01,CO,1,Writing,0.388
2025-08-01,CR,0,Multimedia,0.046
2025-08-01,CR,0,Other/Unknown,0.088
2025-08-01,CR,0,Practical Guidance,0.314
2025-08-01,CR,0,Seeking information,0.158
2025-08-01,CR,0,Self-expression,0.111
2025-08-01,CR,0,Technical help,0.029
2025-08-01,CR,0,Writing,0.254
2025-08-01,CR,1,Multimedia,0.069
2025-08-01,CR,1,Other/Unknown,0.053
2025-08-01,CR,1,Practical Guidance,0.261
2025-08-01,CR,1,Seeking information,0.094
2025-08-01,CR,1,Self-expression,0.004
2025-08-01,CR,1,Technical help,0.139
2025-08-01,CR,1,Writing,0.380
2025-08-01,CY,0,Multimedia,0.067
2025-08-01,CY,0,Other/Unknown,0.046
2025-08-01,CY,0,Practical Guidance,0.279
2025-08-01,CY,0,Seeking information,0.239
2025-08-01,CY,0,Self-expression,0.123
2025-08-01,CY,0,Technical help,0.067
2025-08-01,CY,0,Writing,0.178
2025-08-01,CZ,0,Multimedia,0.059
2025-08-01,CZ,0,Other/Unknown,0.037
2025-08-01,CZ,0,Practical Guidance,0.320
2025-08-01,CZ,0,Seeking information,0.279
2025-08-01,CZ,0,Self-expression,0.117
2025-08-01,CZ,0,Technical help,0.019
2025-08-01,CZ,0,Writing,0.170
2025-08-01,CZ,1,Multimedia,0.048
2025-08-01,CZ,1,Other/Unknown,0.073
2025-08-01,CZ,1,Practical Guidance,0.258
2025-08-01,CZ,1,Seeking information,0.113
2025-08-01,CZ,1,Self-expression,0.034
2025-08-01,CZ,1,Technical help,0.130
2025-08-01,CZ,1,Writing,0.344
2025-08-01,DE,0,Multimedia,0.060
2025-08-01,DE,0,Other/Unknown,0.055
2025-08-01,DE,0,Practical Guidance,0.307
2025-08-01,DE,0,Seeking information,0.245
2025-08-01,DE,0,Self-expression,0.117
2025-08-01,DE,0,Technical help,0.024
2025-08-01,DE,0,Writing,0.192
2025-08-01,DE,1,Multimedia,0.077
2025-08-01,DE,1,Other/Unknown,0.031
2025-08-01,DE,1,Practical Guidance,0.240
2025-08-01,DE,1,Seeking information,0.134
2025-08-01,DE,1,Self-expression,0.021
2025-08-01,DE,1,Technical help,0.128
2025-08-01,DE,1,Writing,0.370
2025-08-01,DK,0,Multimedia,0.046
2025-08-01,DK,0,Other/Unknown,0.044
2025-08-01,DK,0,Practical Guidance,0.332
2025-08-01,DK,0,Seeking information,0.273
2025-08-01,DK,0,Self-expression,0.080
2025-08-01,DK,0,Technical help,0.031
2025-08-01,DK,0,Writing,0.194
2025-08-01,DK,1,Multimedia,0.024
2025-08-01,DK,1,Other/Unknown,0.009
2025-08-01,DK,1,Practical Guidance,0.223
2025-08-01,DK,1,Seeking information,0.129
2025-08-01,DK,1,Self-expression,0.008
2025-08-01,DK,1,Technical help,0.118
2025-08-01,DK,1,Writing,0.488
2025-08-01,DO,0,Multimedia,0.063
2025-08-01,DO,0,Other/Unknown,0.048
2025-08-01,DO,0,Practical Guidance,0.309
2025-08-01,DO,0,Seeking information,0.205
2025-08-01,DO,0,Self-expression,0.084
2025-08-01,DO,0,Technical help,0.026
2025-08-01,DO,0,Writing,0.265
2025-08-01,DO,1,Multimedia,0.154
2025-08-01,DO,1,Other/Unknown,0.040
2025-08-01,DO,1,Practical Guidance,0.306
2025-08-01,DO,1,Seeking information,0.076
2025-08-01,DO,1,Self-expression,0.006
2025-08-01,DO,1,Technical help,0.064
2025-08-01,DO,1,Writing,0.355
2025-08-01,DZ,0,Multimedia,0.056
2025-08-01,DZ,0,Other/Unknown,0.074
2025-08-01,DZ,0,Practical Guidance,0.307
2025-08-01,DZ,0,Seeking information,0.181
2025-08-01,DZ,0,Self-expression,0.182
2025-08-01,DZ,0,Technical help,0.012
2025-08-01,DZ,0,Writing,0.187
2025-08-01,DZ,1,Multimedia,0.066
2025-08-01,DZ,1,Other/Unknown,0.053
2025-08-01,DZ,1,Practical Guidance,0.236
2025-08-01,DZ,1,Seeking information,0.207
2025-08-01,DZ,1,Self-expression,0.031
2025-08-01,DZ,1,Technical help,0.137
2025-08-01,DZ,1,Writing,0.269
2025-08-01,EC,0,Multimedia,0.069
2025-08-01,EC,0,Other/Unknown,0.046
2025-08-01,EC,0,Practical Guidance,0.340
2025-08-01,EC,0,Seeking information,0.179
2025-08-01,EC,0,Self-expression,0.115
2025-08-01,EC,0,Technical help,0.031
2025-08-01,EC,0,Writing,0.219
2025-08-01,EC,1,Multimedia,0.125
2025-08-01,EC,1,Other/Unknown,0.049
2025-08-01,EC,1,Practical Guidance,0.287
2025-08-01,EC,1,Seeking information,0.111
2025-08-01,EC,1,Self-expression,0.006
2025-08-01,EC,1,Technical help,0.064
2025-08-01,EC,1,Writing,0.359
2025-08-01,EE,0,Multimedia,0.024
2025-08-01,EE,0,Other/Unknown,0.020
2025-08-01,EE,0,Practical Guidance,0.341
2025-08-01,EE,0,Seeking information,0.239
2025-08-01,EE,0,Self-expression,0.144
2025-08-01,EE,0,Technical help,0.085
2025-08-01,EE,0,Writing,0.147
2025-08-01,EG,0,Multimedia,0.051
2025-08-01,EG,0,Other/Unknown,0.070
2025-08-01,EG,0,Practical Guidance,0.332
2025-08-01,EG,0,Seeking information,0.207
2025-08-01,EG,0,Self-expression,0.160
2025-08-01,EG,0,Technical help,0.024
2025-08-01,EG,0,Writing,0.156
2025-08-01,EG,1,Multimedia,0.085
2025-08-01,EG,1,Other/Unknown,0.057
